ts_code,name,industry,list_date
600202.SH,哈空调,专用机械,19990603
600203.SH,福日电子,元器件,19990514
600206.SH,有研新材,半导体,19990319
600207.SH,安彩高科,电气设备,19990714
600208.SH,衢州发展,全国地产,19990623
600210.SH,紫江企业,广告包装,19990824
600211.SH,西藏药业,生物制药,19990721
600212.SH,绿能慧充,电气设备,19990817
600215.SH,派斯林,专用机械,19990909
600216.SH,浙江医药,化学制药,19991021
600217.SH,中再资环,环境保护,19991216
600218.SH,全柴动力,汽车配件,19981203
600219.SH,南山铝业,铝,19991223
600221.SH,海航控股,空运,19991125
600222.SH,太龙药业,中成药,19991105
600223.SH,福瑞达,日用化工,20000113
600226.SH,亨通股份,供气供热,19991116
600227.SH,赤天化,农药化肥,20000221
600228.SH,*ST返利,互联网,19990119
600229.SH,城市传媒,出版业,20000309
600230.SH,沧州大化,化工原料,20000406
600231.SH,凌钢股份,普钢,20000511
600232.SH,金鹰股份,纺织机械,20000602
600233.SH,圆通速递,仓储物流,20000608
600234.SH,科新发展,装修装饰,20000615
600235.SH,民丰特纸,造纸,20000615
600236.SH,桂冠电力,水力发电,20000323
600237.SH,铜峰电子,元器件,20000609
600238.SH,*ST椰岛,红黄酒,20000120
600239.SH,ST云城,区域地产,19991202
600241.SH,时代万恒,电气设备,20001128
600243.SH,*ST海华,运输设备,20001120
600246.SH,万通发展,区域地产,20000922
600248.SH,陕建股份,建筑工程,20000622
600249.SH,两面针,日用化工,20040130
600250.SH,南京商旅,商贸代理,20010306
600251.SH,冠农股份,农业综合,20030609
600252.SH,中恒集团,中成药,20001130
600255.SH,鑫科材料,小金属,20001122
600256.SH,广汇能源,石油开采,20000526
600257.SH,大湖股份,渔业,20000612
600258.SH,首旅酒店,酒店餐饮,20000601
600259.SH,中稀有色,小金属,20000525
600261.SH,阳光照明,家用电器,20000720
600262.SH,北方股份,专用机械,20000630
600265.SH,*ST景谷,林业,20000825
600266.SH,城建发展,区域地产,19990203
600267.SH,海正药业,化学制药,20000725
600268.SH,国电南自,电气设备,19991118
600269.SH,赣粤高速,路桥,20000518
600271.SH,航天信息,软件服务,20030711
600272.SH,开开实业,医药商业,20010228
600273.SH,嘉化能源,化工原料,20030627
600276.SH,恒瑞医药,化学制药,20001018
600278.SH,东方创业,商贸代理,20000712
600279.SH,重庆港,港口,20000731
600280.SH,中央商场,百货,20000926
600281.SH,华阳新材,小金属,20001109
600282.SH,南钢股份,普钢,20000919
600283.SH,钱江水利,水务,20001018
600284.SH,浦东建设,建筑工程,20040316
600285.SH,羚锐制药,中成药,20001018
600287.SH,苏豪时尚,商贸代理,20000901
600288.SH,大恒科技,元器件,20001129
600289.SH,ST信通,软件服务,20000720
600292.SH,电投水电,水力发电,20001101
600293.SH,三峡新材,玻璃,20000919
600295.SH,鄂尔多斯,特种钢,20010426
600298.SH,安琪酵母,食品,20000818
600299.SH,安迪苏,饲料,20000420
600300.SH,维维股份,软饮料,20000630
600301.SH,华锡有色,小金属,20000712
600302.SH,ST标准,纺织机械,20001213
600303.SH,曙光股份,汽车整车,20001226
600305.SH,恒顺醋业,食品,20010206
600307.SH,酒钢宏兴,普钢,20001220
600308.SH,华泰股份,造纸,20000928
600309.SH,万华化学,化工原料,20010105
600310.SH,广西能源,水力发电,20010228
600312.SH,平高电气,电气设备,20010221
600313.SH,农发种业,种植业,20010119
600315.SH,上海家化,日用化工,20010315
600316.SH,洪都航空,航空,20001215
600318.SH,新力金融,多元金融,20001208
600319.SH,亚星化学,化工原料,20010326
600320.SH,振华重工,专用机械,20001221
600322.SH,津投城开,区域地产,20010910
600323.SH,瀚蓝环境,环境保护,20001225
600325.SH,华发股份,区域地产,20040225
600326.SH,西藏天路,水泥,20010116
600327.SH,大东方,医疗保健,20020625
600328.SH,中盐化工,化工原料,20001222
600329.SH,达仁堂,中成药,20010606
